Module                  Size  Used by
nvidia               1458176  11 nvidia_modeset
snd_soc_tegra_machine_driver    16384  0
crct10dif_ce           20480  1
nvhost_nvcsi           24576  1 tegra_camera
snd_soc_tegra_utils    28672  2 snd_soc_tegra210_admaif,snd_soc_tegra_machine_driver
tegra_camera_platform    24576  4 nvhost_isp5,nvhost_nvcsi_t194,tegra_camera,nvhost_vi5
snd_soc_simple_card_utils    28672  1 snd_soc_tegra_utils
nvpmodel_clk_cap       16384  0
tegra234_oc_event      16384  0
thermal_trip_event     16384  0
capture_ivc            28672  1 tegra_camera
tegra_dce              98304  2 nvidia
tsecriscv              32768  1 nvidia
nvidia_vrs_pseq        16384  0
tegra_camera_rtcpu    176128  2 capture_ivc,tegra_camera
ivc_bus                24576  2 capture_ivc,tegra_camera_rtcpu
hsp_mailbox_client     20480  2 ivc_bus,tegra_camera_rtcpu
ivc_ext                20480  2 ivc_bus,capture_ivc
governor_userspace     16384  0
v4l2_fwnode            20480  1 tegra_camera
v4l2_async             20480  2 v4l2_fwnode,tegra_camera
videobuf2_dma_contig    24576  1 tegra_camera
videobuf2_memops       20480  1 videobuf2_dma_contig
nvhost_capture         20480  2 nvhost_isp5,nvhost_vi5
videobuf2_v4l2         28672  1 tegra_camera
videobuf2_common       61440  4 videobuf2_dma_contig,videobuf2_v4l2,tegra_camera,videobuf2_memops
tegra_drm             344064  12
tegra_wmark            16384  0
videodev              249856  4 v4l2_async,videobuf2_v4l2,tegra_camera,videobuf2_common
nvhwpm                106496  2 mc_hwpm,tegra_drm
host1x_nvhost          40960  8 nvhost_isp5,nvhost_nvcsi_t194,nvidia,tegra_camera,nvhost_capture,nvhost_nvcsi,nvhost_vi5,nvidia_modeset
cec                    53248  1 tegra_drm
mc                     57344  4 videodev,videobuf2_v4l2,tegra_camera,videobuf2_common
drm_kms_helper        278528  4 tegra_drm,nvidia_drm
tpm_ftpm_tee           16384  0
nvidia_p2p             20480  0
ina3221                24576  0
nvgpu                2654208  23
governor_pod_scaling    36864  0
host1x                180224  6 host1x_nvhost,host1x_fence,nvgpu,tegra_drm,nvidia_drm,nvidia_modeset
mc_utils               16384  3 nvidia,nvgpu,tegra_camera_platform
nvmap                 208896  170 nvgpu
nvsciipc               24576  1 nvmap
drm                   602112  18 drm_kms_helper,nvidia,tegra_drm,nvidia_drm
fuse                  131072  5
ip_tables              32768  2 iptable_filter,iptable_nat
x_tables               45056  10 ip6table_filter,xt_conntrack,iptable_filter,ip6table_nat,xt_addrtype,xt_set,ip6_tables,ip_tables,iptable_nat,xt_MASQUERADE
ipv6                  471040  95 bridge
pwm_fan                24576  0
pwm_tegra              20480  1
tegra_bpmp_thermal     16384  0
